title,release_year,score,popularity,genre2
Haikyuu!! Second Season,2015-10-04,8.82,141,Comedy
Haikyuu!! Second Season,2015-10-04,8.82,141,Sports
Haikyuu!! Second Season,2015-10-04,8.82,141,Drama
Haikyuu!! Second Season,2015-10-04,8.82,141,School
Haikyuu!! Second Season,2015-10-04,8.82,141,Shounen
Shigatsu wa Kimi no Uso,2014-10-10,8.83,28,Drama
Shigatsu wa Kimi no Uso,2014-10-10,8.83,28,Music
Shigatsu wa Kimi no Uso,2014-10-10,8.83,28,Romance
Shigatsu wa Kimi no Uso,2014-10-10,8.83,28,School
Shigatsu wa Kimi no Uso,2014-10-10,8.83,28,Shounen
Made in Abyss,2017-07-07,8.83,98,Sci-Fi
Made in Abyss,2017-07-07,8.83,98,Adventure
Made in Abyss,2017-07-07,8.83,98,Mystery
Made in Abyss,2017-07-07,8.83,98,Drama
Made in Abyss,2017-07-07,8.83,98,Fantasy
Fullmetal Alchemist: Brotherhood,2009-04-05,9.23,4,Action
Fullmetal Alchemist: Brotherhood,2009-04-05,9.23,4,Military
Fullmetal Alchemist: Brotherhood,2009-04-05,9.23,4,Adventure
Fullmetal Alchemist: Brotherhood,2009-04-05,9.23,4,Comedy
Fullmetal Alchemist: Brotherhood,2009-04-05,9.23,4,Drama
Fullmetal Alchemist: Brotherhood,2009-04-05,9.23,4,Magic
Fullmetal Alchemist: Brotherhood,2009-04-05,9.23,4,Fantasy
Fullmetal Alchemist: Brotherhood,2009-04-05,9.23,4,Shounen
Kizumonogatari III: Reiketsu-hen,2017-01-06,8.83,502,Action
Kizumonogatari III: Reiketsu-hen,2017-01-06,8.83,502,Mystery
Kizumonogatari III: Reiketsu-hen,2017-01-06,8.83,502,Supernatural
Kizumonogatari III: Reiketsu-hen,2017-01-06,8.83,502,Vampire
Mob Psycho 100 II,2019-01-07,8.89,176,Action
Mob Psycho 100 II,2019-01-07,8.89,176,Slice of Life
Mob Psycho 100 II,2019-01-07,8.89,176,Comedy
